label,youtube_id,time_start,time_end,split
brushing floor,--5Tg3gW4s4,8,18,train
brushing floor,-YOVjmz5G_c,55,65,train
brushing floor,-fTHeQG3swY,256,266,train
brushing floor,-gzYn-7lziI,646,656,train
brushing floor,02SjI3kUWr0,13,23,train
brushing floor,0Ivgi8nmUUY,35,45,train
brushing floor,0K2DEYpUE-0,62,72,train
brushing floor,0h26D8T08hI,2,12,train
brushing floor,0mlyoRXJriA,0,10,train
brushing floor,0ytLXOTMMsI,0,10,train
brushing floor,1DI8sytoaiQ,0,10,train
brushing floor,1IwANnAPdyc,188,198,train
brushing floor,1NZX2ZE8JEE,0,10,train
brushing floor,24DYl8Se5H4,0,10,train
brushing floor,25h5nBBHVNA,7,17,train
brushing floor,2PcEKl1HphM,0,10,train
brushing floor,2VJihRIPUvs,0,10,train
brushing floor,2uc8EbT917k,8,18,train
brushing floor,30afhkZPzO4,12,22,train
brushing floor,3T9uhVxN63U,16,26,train
brushing floor,3dBms2UI-xk,57,67,train
brushing floor,3x6GAY2UOpI,36,46,train
brushing floor,4FFqYO14a8M,22,32,train
brushing floor,4LVVLfxSMrg,489,499,train
brushing floor,4PgKykIsRX4,0,10,train
brushing floor,4aT7d0b-5BU,0,10,train
brushing floor,4uaG2ZjseWI,1117,1127,train
brushing floor,52vCPEvGWEg,58,68,train
brushing floor,6MmOAYYqSC8,31,41,train
brushing floor,6cKRCdo3pxU,14,24,train
letting go of balloon,--h55t9J0Xo,7,17,train
letting go of balloon,-QrBsdDlObQ,0,10,train
letting go of balloon,-VVmdudvLKY,59,69,train
letting go of balloon,06nE9wxznZ0,0,10,train
letting go of balloon,0OJmX3XSZd0,10,20,train
letting go of balloon,1ERdl1-Axhs,43,53,train
letting go of balloon,1YDrlB2cQNw,51,61,train
letting go of balloon,22LTRoISYhI,65,75,train
letting go of balloon,28EvFS3YGLI,55,65,train
letting go of balloon,2BJV7nhqIO4,20,30,train
letting go of balloon,2e1cxhehEQ8,59,69,train
letting go of balloon,3pVyBpg9Owk,47,57,train
letting go of balloon,44n6p5GKWuE,0,10,train
letting go of balloon,49dWWVwFH5Q,8,18,train
letting go of balloon,4_hBeixrwH0,0,10,train
letting go of balloon,4iaJRUFQ870,0,10,train
letting go of balloon,5H5dfNU-gU4,42,52,train
letting go of balloon,6CQEZ6ETOrk,14,24,train
letting go of balloon,6qF5D1VnNOA,11,21,train
letting go of balloon,7-c5b02-6pU,0,10,train
letting go of balloon,7ajNpkeYRd4,320,330,train
letting go of balloon,7d0pUEYTYA0,18,28,train
letting go of balloon,7pomSWEbvU8,0,10,train
letting go of balloon,9IVbYi5ALgk,0,10,train
letting go of balloon,AT0M1mFa5Wg,58,68,train
letting go of balloon,AhWu_58x5C0,34,44,train
letting go of balloon,AzTflVLYLFg,73,83,train
letting go of balloon,AzcLDNQZSDg,0,10,train
letting go of balloon,BliYU_ZH1f0,18,28,train
letting go of balloon,C5mm_PQZ14I,51,61,train
sausage making,HFhqqkXTyEk,0,10,train
sausage making,HPJEqbYz5so,7,17,train
sausage making,HYiKhUA06tM,6,16,train
sausage making,HhCEM5oDL_g,496,506,train
sausage making,IEl7Y2G12Ls,27,37,train
sausage making,I_utsvV7eHU,0,10,train
sausage making,IfRCBpFx9zU,195,205,train
sausage making,J9xeYWha66A,0,10,train
sausage making,KSKNPHZabCY,321,331,train
sausage making,KYjxI7W34ZE,524,534,train
sausage making,LL3XHAZY0qI,537,547,train
sausage making,Ll0htCpsJjs,54,64,train
sausage making,MMYZLkBjPZc,0,10,train
sausage making,Mbm8qzzCWeM,306,316,train
sausage making,MrDCS54Z9II,18,28,train
sausage making,NXmwVY8SZ5U,0,10,train
sausage making,Np6888suj0c,38,48,train
sausage making,PNKC_tUDt28,39,49,train
sausage making,PQlr61M2IS4,123,133,train
sausage making,PmlbAk7wJfA,979,989,train
sausage making,RAa4l5HU5m4,0,10,train
sausage making,RHZgVUaYhYs,0,10,train
sausage making,RvOAZnibcWQ,148,158,train
sausage making,S8Hd8wvT53w,130,140,train
sausage making,S8csDA_sC4s,184,194,train
sausage making,T0QVY5uZo0c,295,305,train
sausage making,TNEnR6G6300,296,306,train
sausage making,U7PWyCDLK0g,355,365,train
sausage making,UMO50SDG6-g,38,48,train
sausage making,VQdToFwUiTQ,0,10,train